학교명,지역,주소,우편번호
동국대학교(경주),경북,"경상북도 경주시 동대로 123 (석장동, 동국대학교경주캠퍼스) ",38066
동덕여자대학교,서울,"서울특별시 성북구 화랑로13길 60 (하월곡동, 동덕여자대학교) ",02748
동명대학교,부산,"부산광역시 남구 신선로 428 (용당동, 동명대학교) ",48520
동서대학교,부산,"부산광역시 사상구 주례로 47 (주례동, 동서대학교) ",47011
동신대학교,전남,전라남도 나주시 동신대길 67 (대호동) ,58245
동아대학교,부산,"부산광역시 사하구 낙동대로550번길 37 (하단동, 동아대학교) ",49315
동양대학교,경북,"경상북도 영주시 풍기읍 동양대로 145 (산법리, 동양대학교) ",36040
동의대학교,부산,"부산광역시 부산진구 엄광로 176 (가야동, 동의대학교) ",47340
루터대학교,경기,"경기도 용인시 기흥구 금화로82번길 20 (상갈동, 루터대학교) ",17072
명지대학교,경기,"경기도 용인시 처인구 명지로 116 (남동, 명지대학교용인캠퍼스) ",17058
명지대학교,서울,"서울특별시 서대문구 거북골로 34 (남가좌동, 명지대학교) ",03674
목원대학교,대전,"대전광역시 서구 도안북로 88 (도안동, 목원대학교) ",35349
목포가톨릭대학교,전남,"전라남도 목포시 영산로 697 (석현동, 목포가톨릭대학교) ",58607
목포대학교,전남,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교) ",58554
목포해양대학교,전남,"전라남도 목포시 해양대학로 91 (죽교동, 목포해양대학교) ",58628
배재대학교,대전,"대전광역시 서구 배재로 155-40 (도마동, 배재대학교) ",35345
백석대학교,충남,충청남도 천안시 동남구 백석대학로 1 (안서동) ,31065
부경대학교,부산,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스) ",48513
부산가톨릭대학교,부산,"부산광역시 금정구 오륜대로 57 (부곡동, 부산가톨릭대학교) ",46252
부산대학교,부산,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교) ",46241
부산외국어대학교,부산,"부산광역시 금정구 금샘로485번길 65 (남산동, 부산외국어대학교) ",46234
부산장신대학교,경남,경상남도 김해시 김해대로 1894-68 (구산동) ,50883
삼육대학교,서울,"서울특별시 노원구 화랑로 815 (공릉동, 삼육대학교) ",01795
상명대학교,서울,"서울특별시 종로구 홍지문2길 20 (홍지동, 상명대학교) ",03016
상명대학교,충남,"충청남도 천안시 동남구 상명대길 31 (안서동, 상명대학교천안캠퍼스) ",31066
상지대학교,강원,"강원도 원주시 상지대길 83 (우산동, 상지대학교) ",26339
서강대학교,서울,"서울특별시 마포구 백범로 35 (신수동, 서강대학교) ",04107
서경대학교,서울,"서울특별시 성북구 서경로 124 (정릉동, 서경대학교) ",02713
서울과학기술대학교,서울,"서울특별시 노원구 공릉로 232 (공릉동, 서울과학기술대학교) ",01811
서울기독대학교,서울,"서울특별시 은평구 갈현로4길 26-2 (신사동, 서울기독대학교) ",03422
서울대학교,서울,"서울특별시 관악구 관악로 1 (신림동, 서울대학교) ",08826
서울시립대학교,서울,"서울특별시 동대문구 서울시립대로 163 (전농동, 서울시립대학교) ",02504
서울신학대학교,경기,"경기도 부천시 소사구 호현로489번길 52 (소사본동, 서울신학대학교) ",14754
서울여자대학교,서울,"서울특별시 노원구 화랑로 621 (공릉동, 서울여자대학교) ",01797
서울장신대학교,경기,"경기도 광주시 경안로 145 (경안동, 서울장신대학교) ",12749
서울한영대학교,서울,서울특별시 구로구 경인로 290-42 (개봉동) ,08274
서원대학교,충북,"충청북도 청주시 서원구 무심서로 377-3 (모충동, 서원대학교) ",28674
선문대학교,충남,"충청남도 아산시 탕정면 선문로221번길 70 (갈산리, 선문대학교) ",31460
성결대학교,경기,"경기도 안양시 만안구 성결대학로 53 (안양동, 성결대학교) ",14097
성공회대학교,서울,"서울특별시 구로구 연동로 320 (항동, 성공회대학교) ",08359
성균관대학교,서울,"서울특별시 종로구 성균관로 25-2 (명륜3가, 성균관대학교) ",03063
성신여자대학교,서울,"서울특별시 성북구 보문로34다길 2 (돈암동, 성신여자대학교) ",02844
세명대학교,충북,"충청북도 제천시 세명로 65 (신월동, 세명대학교) ",27136
세종대학교,서울,"서울특별시 광진구 능동로 209 (군자동, 세종대학교) ",05006
세한대학교,전남,"전라남도 영암군 삼호읍 녹색로 1113 (산호리, 세한대학교) ",58447
송원대학교,광주,"광주광역시 남구 송암로 73 (송하동, 송원대학) ",61756
수원가톨릭대학교,경기,"경기도 화성시 봉담읍 왕림1길 67 (왕림리, 수원가톨릭대학교) ",18332
수원대학교,경기,"경기도 화성시 봉담읍 와우안길 17 (와우리, 수원대학교) ",18323
숙명여자대학교,서울,"서울특별시 용산구 청파로47길 90 (청파동2가, 숙명여자대학교) ",04310
순천대학교,전남,"전라남도 순천시 중앙로 255 (석현동, 순천대학교) ",57922
순천향대학교,충남,"충청남도 아산시 신창면 순천향로 22 (읍내리, 순천향대학교) ",31538
숭실대학교,서울,"서울특별시 동작구 상도로 369 (상도동, 숭실대학교) ",06978
신경대학교,경기,"경기도 화성시 남양읍 남양중앙로 400-5 (남양리, 신경대학교) ",18274
신라대학교,부산,"부산광역시 사상구 백양대로700번길 140 (괘법동, 신라대학교) ",46958
신한대학교,경기,"경기도 동두천시 벌마들로40번길 30 (상패동, 신한대학교) ",11340
신한대학교,경기,"경기도 의정부시 호암로 95 (호원동, 신한대학교) ",11644
아세아연합신학대학교,경기,"경기도 양평군 옥천면 경강로 1276 (아신리, 아세아연합신학대학교) ",12508
아주대학교,경기,"경기도 수원시 영통구 월드컵로 206 (원천동, 아주대학교) ",16499
안동대학교,경북,"경상북도 안동시 경동로 1375 (송천동, 안동대학교) ",36729
안양대학교,경기,"경기도 안양시 만안구 삼덕로37번길 22 (안양동, 안양대학교) ",14028
안양대학교,인천,"인천광역시 강화군 불은면 중앙로 602-14 (삼성리, 안양대학교강화캠퍼스) ",23038
연세대학교,서울,"서울특별시 서대문구 연세로 50 (신촌동, 연세대학교) ",03722
연세대학교(미래),강원,강원도 원주시 흥업면 연세대길 1 연세대학교 미래캠퍼스,26493
영남대학교,경북,"경상북도 경산시 대학로 280 (대동, 영남대학교) ",38541
영남신학대학교,경북,"경상북도 경산시 진량읍 봉회1길 26 (봉회리, 영남신학대학교) ",38451
영산대학교,경남,경상남도 양산시 주남로 288 (주남동) 영산대학교 양산캠퍼스,50510
영산대학교,부산,부산광역시 해운대구 반송순환로 142 (반송동) 영산대학교 해운대캠퍼스,48015
영산선학대학교,전남,전라남도 영광군 백수읍 성지로 1357 (길용리) ,57026
예수대학교,전북,"전라북도 전주시 완산구 서원로 383 (중화산동1가, 예수대학교) ",54989
예원예술대학교,전북,"전라북도 임실군 신평면 창인로 117 (창인리, 예원예술학교) ",55913
예원예술대학교,경기,"경기도 양주시 은현면 화합로1134번길 110 (용암리, 예원예술대학교양주캠퍼스) ",11429
용인대학교,경기,"경기도 용인시 처인구 용인대학로 134 (삼가동, 용인대학교) ",17092
우석대학교,전북,"전라북도 완주군 삼례읍 삼례로 443 (후정리, 우석대학교) ",55338
우송대학교,대전,"대전광역시 동구 동대전로 171 (자양동, 우송정보대학) ",34606
울산과학기술원,울산,"울산광역시 울주군 언양읍 유니스트길 50 (반연리, 울산과학기술원) ",44919
울산대학교,울산,"울산광역시 남구 대학로 93 (무거동, 울산대학교) ",44610
원광대학교,전북,"전라북도 익산시 익산대로 460 (신동, 원광대학교) ",54538
위덕대학교,경북,"경상북도 경주시 강동면 동해대로 261 (유금리, 위덕대학교) ",38004
유원대학교,충북,충청북도 영동군 영동읍 대학로 310 ,29131
을지대학교,대전,"대전광역시 중구 계룡로771번길 77 (목동, 을지대학교대전캠퍼스) ",34824
을지대학교,경기,"경기도 성남시 수정구 산성대로 553 (양지동, 을지대학교) ",13135
을지대학교,경기,경기도 의정부시 동일로 712 (금오동) ,11759
